avtorji,naslov,položaj na lestvici,povprečna dolžina epizode (v sekundah),splošna ocena,začetek predvajanja,število epizod,žanri

"['Steven Maeda', 'Matt Owens']",One Piece,1,3600,8.5,2023,8,"['Action', 'Adventure', 'Comedy']"

['Dave Filoni'],Ahsoka,2,,8,2023,8,"['Action', 'Adventure', 'Drama']"

['Rafe Judkins'],The Wheel of Time,3,3600,7.1,2021,21,"['Action', 'Adventure', 'Drama']"

['Eiichirô Oda'],One Piece: Wan pîsu,4,1440,8.9,1999,1083,"['Animation', 'Action', 'Adventure']"

['Taylor Sheridan'],Special Ops: Lioness,5,2520,7.7,2023,8,"['Action', 'Drama', 'Thriller']"

['Aaron Korsh'],Nepremagljivi dvojec,6,2640,8.4,2011,134,"['Comedy', 'Drama']"

['Jack Lothian'],Who Is Erin Carter?,7,20280,6.5,2023,7,"['Action', 'Adventure', 'Crime']"

"['John Hoffman', 'Steve Martin']",Only Murders in the Building,8,1800,8.1,2021,30,"['Comedy', 'Crime', 'Drama']"

['Christopher Storer'],The Bear,9,1800,8.6,2022,18,['Drama']

['Ronan Bennett'],Top Boy,10,3600,8.4,2011,32,"['Crime', 'Drama', 'Thriller']"

"['David Benioff', 'D.B. Weiss']",Igra prestolov,11,3420,9.2,2011,73,"['Action', 'Adventure', 'Drama']"

"['John Linson', 'Taylor Sheridan']",Yellowstone,12,3600,8.7,2018,53,"['Drama', 'Western']"

"['Josh Friedman', 'David S. Goyer']",Foundation,13,3600,7.5,2021,20,"['Drama', 'Sci-Fi']"

"['Brad Falchuk', 'Ryan Murphy']",Ameriska grozljivka,14,3600,8,2011,129,"['Drama', 'Horror', 'Sci-Fi']"

['Vince Gilligan'],Kriva pota,15,2940,9.5,2008,62,"['Crime', 'Drama', 'Thriller']"

"['Micah Fitzerman-Blue', 'Noah Harpster']",Painkiller,16,17160,7.5,2023,6,"['Crime', 'Drama']"

"['Evan Goldberg', 'Eric Kripke', 'Craig Rosenberg']",Gen V,17,,null,2023,8,"['Action', 'Adventure', 'Comedy']"

['Sue Tenney'],Virgin River,18,2640,7.4,2019,55,"['Drama', 'Romance']"

['Frank Darabont'],Zivi mrtveci,19,2640,8.1,2010,177,"['Drama', 'Horror', 'Thriller']"

['Charlie Brooker'],Black Mirror,20,3600,8.7,2011,27,"['Drama', 'Mystery', 'Sci-Fi']"

[],Shingeki no Kyojin,21,1440,9,2013,98,"['Animation', 'Action', 'Adventure']"

"['Brian Koppelman', 'David Levien', 'Andrew Ross Sorkin']",Billions,22,3600,8.3,2016,84,['Drama']

['Eric Kripke'],The Boys,23,3600,8.7,2019,32,"['Action', 'Comedy', 'Crime']"

['Shonda Rhimes'],Talenti v belem,24,2460,7.6,2005,421,"['Drama', 'Romance']"

"['Charlotte Coben', 'Harlan Coben']",Harlan Coben's Shelter,25,,6.6,2023,8,"['Crime', 'Drama', 'Mystery']"

['Jesse Armstrong'],Succession,26,3600,8.9,2018,39,"['Comedy', 'Drama']"

"['Simon Kinberg', 'David Weil']",Invasion,27,3600,6.1,2021,20,"['Drama', 'Fantasy', 'Sci-Fi']"

[],The Lost Flowers of Alice Hart,28,3600,7.9,2023,7,['Drama']

['Jemaine Clement'],What We Do in the Shadows,29,1800,8.6,2019,51,"['Comedy', 'Fantasy', 'Horror']"

['Graham Roland'],Dark Winds,30,2940,7.7,2022,12,"['Crime', 'Drama', 'Mystery']"

"['Emilie Lebech Kaae', 'Adam Price']",Ragnarok,31,2700,7.4,2020,18,"['Action', 'Drama', 'Fantasy']"

['Lauren Schmidt Hissrich'],The Witcher,32,3600,8,2019,25,"['Action', 'Adventure', 'Drama']"

['David Chase'],Sopranovi,33,3300,9.2,1999,86,"['Crime', 'Drama']"

"['Dave Andron', 'Michael Dinner']",Justified: City Primeval,34,2880,7.5,2023,8,"['Crime', 'Drama']"

['Steven Knight'],Birminghamske tolpe,35,3600,8.8,2013,36,"['Crime', 'Drama']"

