avtor,število
Steven Maeda,1
Matt Owens,1
Dave Filoni,2
Rafe Judkins,1
Eiichirô Oda,1
Taylor Sheridan,3
Aaron Korsh,1
Jack Lothian,1
John Hoffman,1
Steve Martin,1
Christopher Storer,1
Ronan Bennett,1
David Benioff,1
D.B. Weiss,1
John Linson,1
Josh Friedman,1
David S. Goyer,1
Brad Falchuk,1
Ryan Murphy,1
Vince Gilligan,2
Micah Fitzerman-Blue,1
Noah Harpster,1
Evan Goldberg,1
Eric Kripke,3
Craig Rosenberg,1
Sue Tenney,1
Frank Darabont,1
Charlie Brooker,1
,6
Brian Koppelman,1
David Levien,1
Andrew Ross Sorkin,1
Shonda Rhimes,1
Charlotte Coben,1
Harlan Coben,1
Jesse Armstrong,1
Simon Kinberg,2
David Weil,1
Jemaine Clement,1
Graham Roland,2
Emilie Lebech Kaae,1
Adam Price,1
Lauren Schmidt Hissrich,1
David Chase,1
Dave Andron,1
Michael Dinner,1
Steven Knight,1
Brendan Hunt,1
Joe Kelly,1
Bill Lawrence,1
Jason Sudeikis,1
Max Borenstein,1
Jim Hecht,1
Graham Yost,2
Akiva Goldsman,1
Alex Kurtzman,1
Jenny Lumet,1
Alexi Hawley,1
Ronald D. Moore,1
Greg Daniels,1
Ricky Gervais,1
Stephen Merchant,1
Peter Gould,1
Matt Groening,2
Josh Weinstein,1
Paul Abbott,1
John Wells,1
Ted Humphrey,1
David E. Kelley,1
Darren Star,2
Dick Wolf,1
Steven Molaro,1
Chuck Lorre,2
Neil Gaiman,1
Sydney Newman,1
David Crane,1
Marta Kauffman,1
Jeff Davis,1
Laurie Nunn,1
Chris Lang,1
Jon Favreau,1
Bill Prady,1
Christopher Miller,1
David X. Cohen,1
Jay Carson,1
Kerry Ehrin,1
Jenny Han,1
Nic Pizzolatto,1
Jon Bokenkamp,1
Pendleton Ward,1
Jim Field Smith,1
George Kay,1
Mark Brazill,1
Bonnie Turner,1
Terry Turner,1
Rob McElhenney,1
Glenn Howerton,1
Carrie Beck,1
Donald P. Bellisario,1
Don McGill,1
Michael Waldron,1
Neil Druckmann,1
Craig Mazin,1
David Zabel,1
Steven Levitan,1
Christopher Lloyd,1
Ryan J. Condal,1
George R.R. Martin,1
David Simon,1
John Griffin,1
David Jaffe,1
Rhett Reese,1
Michael Jonathan Smith,1
Paul Wernick,1
Hart Hanson,1
Amy Sherman-Palladino,1
Mike White,1
Sterlin Harjo,1
Taika Waititi,1
Julie Plec,1
Kevin Williamson,1
Robert Munic,1
Carlton Cuse,1
Caroline Graham,1
Joe Murtagh,1
Danny McBride,1
Noah Hawley,1
J.J. Abrams,1
Jeffrey Lieber,1
Damon Lindelof,1
David Shore,1
Michael Patrick King,1
Larry David,1
Jerry Seinfeld,1
Dan Erickson,1
